tweets
I won’t be watching much anymore!
Tonight at 9:00 P.M. (Eastern).
"On behalf of our entire nation, CONGRATULATIONS to the incredible West Point Class of 2020!"
MAKE AMERICA GREAT AGAIN!
LAW & ORDER!
10:00 A.M.
So true!
Happy Birthday Matt. GREAT JOB!
"Thank you Frank. Fredo’s ratings are really bad, more than 50% down. A loser!!!"
They want to totally destroy our great Police Departments. No way!!!
Thank you Nick. Hear the book is doing well (go get it everyone. Make this great writer number one!).
Soon heading to West Point Graduation to give the Commencement Address. Will be shown live on @FoxNews plus. Enjoy!
Concast is known for its terrible service. On top of that they provide FAKE NEWS on MSDNC & @NBCNews. Drop them and go to a good provider!
We are getting the Commercial Fishing Industry in Maine back on track (will be better than ever) after suffering years of stupidity and abuse from the previous administration. Already got 5000 square miles back and available to fish. China & E.U. told to drop their Tariffs now!!!
Criminal Justice Reform. I got it done!!!
Thank you Jack!
"...We have already had ticket requests in excess of 200,000 people. I look forward to seeing everyone in Oklahoma!"
"...of respect for this Holiday, and in observance of this important occasion and all that it represents. I have therefore decided to move our rally to Saturday, June 20th, in order to honor their requests..."
"We had previously scheduled our #MAGA Rally in Tulsa, Oklahoma, for June 19th – a big deal. Unfortunately, however, this would fall on the Juneteenth Holiday. Many of my African American friends and supporters have reached out to suggest that we consider changing the date out..."
"...rebuilding America’s infrastructure with projects like the Portal North Bridge, which I have given authorization to proceed!"
"Just finished dinner in Bedminster, New Jersey, with Governor Phil Murphy (@GovMurphy) and his wonderful wife, Tammy. Talked about many things, including the opening of the beautiful Garden State, getting people back to work, and..."
...We need Corky in Washington – he has my Complete and Total Endorsement! #NHSEN
"Corky Messner (@CorkyForSenate) will be a fantastic Senator for New Hampshire! A West Point graduate, he served our Country in the Army with distinction. Strong on Jobs, Crime, Vets, Military and the Second Amendment..."
"Seattle Mayor says, about the anarchists takeover of her city, “it is a Summer of Love”. These Liberal Dems don’t have a clue. The terrorists burn and pillage our cities, and they think it is just wonderful, even the death. Must end this Seattle takeover now!"
"Interview with @HARRISFAULKNER at 1:00 P.M. on @FoxNews, Outnumbered Overtime"
“Do you think Suburban Women want to Defund the Police? I don’t think so.” @marcthiessen
A big winner. Congratulations!
Hello!
"The Republican Party has not yet voted on a Platform. No rush. I prefer a new and updated Platform, short form, if possible."
"How do you think China, Russia, Japan or others would do with him in a negotiation? We would have no Country left!!!"
Crazy!
People have no idea how Fake the Lamestream Media is!
The Radical Left Democrats: First they try to take away your guns. Then they try to take away your police!
"Great work @RepChipRoy, together we are keeping AMERICAN WORKERS employed!"
"...We need Karen in Washington badly! She loves Georgia and the USA. Has my Complete and Total Endorsement! November 3rd, a big day for us all! #GA06"
"...Unlike her Radical Liberal opponent, Theresa Greenfield, and Theresa’s failed record in real estate, Joni stands for Iowa. Vote for Joni Ernst on November 3rd, a big day for us all! #IASEN"
...Second Amendment. Matt has my Complete and Total Endorsement! We need him in Washington now! #NH01
"Just finished dinner in Bedminster, New Jersey, with Governor Phil Murphy (@GovMurphy) and his wonderful wife, Tammy. Talked about many things, including the opening of the beautiful Garden State, getting people back to work, and..."
...We need Corky in Washington – he has my Complete and Total Endorsement! #NHSEN
"Corky Messner (@CorkyForSenate) will be a fantastic Senator for New Hampshire! A West Point graduate, he served our Country in the Army with distinction. Strong on Jobs, Crime, Vets, Military and the Second Amendment..."
"Seattle Mayor says, about the anarchists takeover of her city, “it is a Summer of Love”. These Liberal Dems don’t have a clue. The terrorists burn and pillage our cities, and they think it is just wonderful, even the death. Must end this Seattle takeover now!"
